category,name,url,cost,license,notes
UI,Figma Marketplace templates,https://www.figma.com/community/website-templates/marketplace,FREE,Figma Community,Filter Free → duplicate
UI,Figma SaaS templates,https://www.figma.com/community/website-templates/saas,FREE,Figma Community,Best for pricing sections
UI,Framer SaaS UI Kit 100 sections,https://www.framer.com/free-saas-ui-kit/?via=lapaninja,FREE,Framer Free,Responsive + 3D assets
UI,UI Store 1000+ kits,https://uistore.design/,FREE,Various,Search marketplace
UI,Landify Landing Kit,https://www.figma.com/community/file/862012516695915696,FREE,Figma Community,100 modular sections
UI,Ant Design System,https://www.figma.com/community/file/831698976089873405,FREE,MIT,Enterprise tables
UI,ClayAI Dark AI SaaS,https://www.figma.com/community/search?query=ClayAI,FREE,Figma Community,Futuristic dark — top pick
Animation,LottieFiles Futuristic 58 free,https://lottiefiles.com/free-animations/futuristic,FREE,LottieFiles Free,JSON/GIF/MP4
Animation,LottieFiles Computer search,https://lottiefiles.com/free-animations/computer,FREE,LottieFiles Free,200+ laptop/server
Animation,IconScout Futuristic 38 free,https://iconscout.com/free-lottie-animations/futuristic,FREE,IconScout Free,GIF/Lottie/AEP
Animation,Lottiefiles Hero Section,https://lottiefiles.com/free-animations/hero-section,FREE,LottieFiles Free,Hero specific
3D,Spline Design,https://spline.design/,FREE (3 scenes/mo),Spline Free,Text→3D with AI
3D,Spline Library,https://app.spline.design/library,FREE,Spline Free,Search futuristic hero
3D,Aura Glassmorphism Hero Three.js,https://www.aura.build/component/8369ED,FREE,MIT copy code,Tailwind+Three.js
3D,Aura WebGL Glass Hero,https://www.aura.build/component/4D7CA7F,FREE,MIT copy code,Shader background
Interactive,Rive Community files,https://rive.app/community/files,FREE,Rive Free,.riv with state machine
Tool,Lottie Creator,https://lottiefiles.com/tools/lottie-creator,FREE,LottieFiles Free,Make Lottie
Tool,SVGator,https://www.svgator.com/,FREE tier,SVGator Free,SVG→Lottie
Tool,Unicorn Studio reactive bg,https://unicorn.studio/,FREE tier,Unicorn Free,Mouse-follow canvas
Font,Inter + JetBrains Mono,https://fonts.google.com/,FREE,OFL,Headings + mono numbers
